X3	X4	X6	X7	X9	X10
0	0	0	1	0	0
0	0	0	0	1	1
1	1	0	0	1	1
0	0	0	0	1	1
1	0	1	1	1	1
1	1	1	1	1	1
1	1	1	1	1	1
1	1	1	1	0	1
0	1	1	1	0	1
0	0	0	0	1	1
1	1	1	0	1	1
1	1	1	0	0	0
1	1	1	0	1	1
0	0	0	0	0	0
1	1	1	0	1	0
1	1	0	1	1	0
1	1	1	1	0	1
1	1	1	1	0	0
1	0	0	1	1	1
1	1	1	1	1	0
0	0	0	0	0	0
0	0	1	1	0	1
1	1	1	1	1	1
1	1	1	0	0	0
1	1	0	1	1	1
0	0	0	0	0	1
1	1	0	1	1	0
0	1	1	0	0	0
0	1	1	1	0	1
1	1	0	0	0	1
0	0	1	0	1	0
0	0	0	1	1	0
0	1	0	1	0	0
1	1	1	0	1	0
0	0	0	1	1	1
1	1	1	1	1	1
1	0	1	1	0	0
1	0	0	1	1	1
0	0	0	0	0	0
0	1	0	0	0	0
0	0	0	0	0	1
1	1	0	0	0	0
0	1	0	1	1	0
0	0	0	0	0	0
0	0	1	1	1	0
0	1	1	1	1	1
1	1	1	1	0	1
0	0	0	1	0	0
0	0	1	1	1	1
0	0	0	0	0	1
1	0	1	1	0	0
1	1	0	1	0	0
0	0	0	0	0	0
0	1	0	0	0	0
0	1	1	1	1	0
1	0	1	0	1	1
1	0	1	1	0	0
1	1	1	1	1	1
1	1	0	0	1	0
1	0	1	1	0	1
0	0	0	0	0	0
0	0	0	0	1	0
1	0	0	0	1	1
1	0	0	1	1	0
1	0	0	0	1	1
0	0	0	1	0	1
1	1	1	1	0	1
1	0	1	0	0	0
0	0	1	0	0	0
1	0	1	1	0	0
1	0	1	1	0	1
0	0	1	0	1	1
1	0	1	0	1	1
0	0	1	1	1	1
0	0	0	0	0	1
1	1	0	0	1	1
0	1	0	1	0	0
0	0	1	1	0	0
0	1	1	0	1	1
1	0	0	0	1	1
1	1	1	0	0	0
0	0	0	0	0	0
0	0	1	1	1	1
0	0	0	0	0	0
0	0	1	0	0	0
1	1	1	1	1	1
0	0	0	0	0	0
1	0	1	0	1	1
0	1	1	0	0	0
0	0	0	0	0	0
1	0	1	0	1	0
1	1	1	1	1	1
1	1	0	1	1	1
1	0	0	1	1	1
1	0	1	1	0	0
1	0	0	0	0	1
0	0	1	0	1	0
1	0	1	1	1	1
1	1	1	1	0	0
1	0	0	0	0	1
